Key,en-US,zh-CN,zh-TW,bo-CN,nl-NL,ca-ES,eu-ES,da-DK,sk-SK,de-DE,hi-IN,id-ID,th-TH,fil-PH,lo-LA,sw-KE,ja-JP,fr-FR,es-ES,pl-PL,nb-NO,sv-SE,hu-HU,ko-KR,si-LK,mr-IN,ta-IN,gu-IN,pa-IN,kn-IN,as-IN,fa-IR,pt-BR,tr-TR,uz-UZ,gl-ES,he-IL,sr-RS,bg-BG,fi-FI,hr-HR,sl-SI,uk-UA,ms-MY,vi-VN,ru-RU,ar,ur-PK,km-KH,ne-NP,it-IT,cs-CZ,ro-RO,pt-PT,el-GR,my-MM,bn-BD,kk-KZ,te-IN,ml-IN,or-IN
sort_by_update_time,Sort by date updated,按更新日期排序,依更新日期排序,གསར་བཅོས་དུས་ཚོད་ལྟར་སྒྲིག་འཇོག,Sorteren op bijgewerkte datum,Ordenar per data d\'actualització,Ordenatu eguneratze-dataren arabera,Sortér efter opdateringsdato,Zoradiť podľa dátumu aktualizácie,Nach Aktualisierungsdatum sortieren,अपडेट की तारीख के अनुसार क्रमबद्ध करें,Urutkan berdasarkan tanggal diperbarui,เรียงตามวันที่อัปเดต,Pagbukud-bukurin ayon sa petsa ng pag-update,ຈັດຮຽງຕາມວັນທີອັບເດດ,Panga kwa tarehe ya kusasishwa,更新日時で並べ替え,Trier par date de mise à jour,Ordenar por fecha de actualización,Sortuj według daty aktualizacji,Sorter etter oppdateringsdato,Sortera efter uppdateringsdatum,Rendezés frissítés dátuma szerint,업데이트 날짜순 정렬,යාවත්කාලීන කළ දිනය අනුව වර්ග කරන්න,अपडेट केलेल्या तारखेनुसार क्रमवारी लावा,புதுப்பித்த தேதியின்படி வரிசைப்படுத்து,અપડેટ તારીખ પ્રમાણે ગોઠવો,ਅੱਪਡੇਟ ਕੀਤੀ ਤਾਰੀਖ ਅਨੁਸਾਰ ਕ੍ਰਮਬੱਧ ਕਰੋ,ನವೀಕರಿಸಿದ ದಿನಾಂಕದ ಪ್ರಕಾರ ವಿಂಗಡಿಸಿ,আপডেট কৰা তাৰিখ অনুসৰি সজাওক,مرتب‌سازی بر اساس تاریخ به‌روزرسانی,Ordenar por data de atualização,Güncellenme tarihine göre sırala,Yangilangan sana bo'yicha saralash,Ordenar por data de actualización,מיין לפי תאריך עדכון,Sortiraj po datumu ažuriranja,Сортиране по дата на актуализация,Järjestä päivityspäivän mukaan,Sortiraj po datumu ažuriranja,Razvrsti po datumu posodobitve,Сортувати за датою оновлення,Isih mengikut tarikh dikemas kini,Sắp xếp theo ngày cập nhật,Сортировать по дате обновления,الترتيب حسب تاريخ التحديث,تاریخ اپ ڈیٹ کے لحاظ سے ترتیب دیں,តម្រៀបតាមកាលបរិច្ឆេទធ្វើបច្ចុប្បន្នភាព,अपडेट मिति अनुसार क्रमबद्ध गर्नुहोस्,Ordina per data di aggiornamento,Seřadit podle data aktualizace,Sortează după data actualizării,Ordenar por data de atualização,Ταξινόμηση κατά ημερομηνία ενημέρωσης,အပ်ဒိတ်လုပ်ထားသည့်ရက်စွဲအလိုက် စီစဉ်ရန်,আপডেট তারিখ অনুসারে সাজান,Жаңартылған күні бойынша сұрыптау,అప్‌డేట్ చేసిన తేదీ ప్రకారం క్రమబద్ధీకరించండి,അപ്ഡേറ്റ് ചെയ്ത തീയതി അനുസരിച്ച് അടുക്കുക,ଅପଡେଟ୍ ତାରିଖ ଅନୁସାରେ ସର୍ଟ କରନ୍ତୁ
main_library_tab,Library,音乐库,音樂庫,དཔེ་མཛོད།,Bibliotheek,Biblioteca,Liburutegia,Bibliotek,Knižnica,Mediathek,लाइब्रेरी,Pustaka,คลัง,Library,ຄັງເພງ,Maktaba,ライブラリ,Bibliothèque,Biblioteca,Biblioteka,Bibliotek,Bibliotek,Könyvtár,보관함,පුස්තකාලය,लायब्ररी,லைப்ரரி,લાઇબ્રેરી,ਲਾਇਬ੍ਰੇਰੀ,ಲೈಬ್ರರಿ,লাইব্ৰেৰী,کتابخانه,Biblioteca,Kütüphane,Kutubxona,Biblioteca,ספרייה,Biblioteka,Библиотека,Kirjasto,Biblioteka,Knjižnica,Бібліотека,Perpustakaan,Thư viện,Библиотека,المكتبة,لائبریری,បណ្ណាល័យ,लाइब्रेरी,Libreria,Knihovna,Bibliotecă,Biblioteca,Βιβλιοθήκη,စာကြည့်တိုက်,লাইব্রেরি,Кітапхана,లైబ్రరీ,ലൈബ്രറി,ଲାଇବ୍ରେରୀ
all_play_item_count_track,%1$d track(s),%1$d 首歌曲,%1$d 首歌曲,གཞས་གླུ་ %1$d,%1$d nummer(s),%1$d pista(es),%1$d pista,%1$d numre,%1$d skladieb,%1$d Titel,%1$d ट्रैक,%1$d lagu,%1$d แทร็ก,%1$d (mga) track,%1$d ເພງ,Nyimbo %1$d,%1$d曲,%1$d piste(s),%1$d canción(es),%1$d utwór(ów),%1$d spor,%1$d spår,%1$d dal,%1$d개의 트랙,ගීත %1$d ක්,%1$d ट्रॅक,%1$d பாடல்(கள்),%1$d ટ્રેક(s),%1$d ਟਰੈਕ,%1$d ಟ್ರ್ಯಾಕ್(ಗಳು),%1$d ট্ৰেক,%1$d آهنگ,%1$d faixa(s),%1$d parça,%1$d trek,%1$d pista(s),%1$d רצועות,%1$d numera,%1$d песни,%1$d kappale(tta),%1$d pjesm(a),%1$d posnetkov,%1$d трек(ів),%1$d lagu,%1$d bài hát,%1$d трек(ов),%1$d مقطع صوتي (مقاطع صوتية),%1$d ٹریک(s),បទចម្រៀង %1$d,%1$d ट्र्याक(हरू),%1$d brani,%1$d stop(y/ů),%1$d piese,%1$d faixa(s),%1$d κομμάτια,သီချင်း %1$d ပုဒ်,%1$d টি ট্র্যাক,%1$d трек(тер),%1$d ట్రాక్(లు),%1$d ട്രാക്ക്(കൾ),%1$d ଟ୍ରାକ୍
all_play_item_count_album,%1$d album(s),%1$d 张专辑,%1$d 張專輯,ཟློས་གཞི་ %1$d,%1$d album(s),%1$d àlbum(s),%1$d album,%1$d album,%1$d album(y),%1$d Album/Alben,%1$d एल्बम,%1$d album,%1$d อัลบั้ม,%1$d (mga) album,%1$d ອັລບັ້ມ,Albamu %1$d,%1$dアルバム,%1$d album(s),%1$d álbum(es),%1$d album(ów),%1$d album,%1$d album,%1$d album,%1$d개의 앨범,ඇල්බම %1$d ක්,%1$d अल्बम,%1$d ஆல்பம்(கள்),%1$d આલ્બમ(s),%1$d ਐਲਬਮ,%1$d ಆಲ್ಬಂ(ಗಳು),%1$d এলবাম,%1$d آلبوم,%1$d álbum(ns),%1$d albüm,%1$d albom,%1$d álbum(s),%1$d אלבומים,%1$d album(a),%1$d албума,%1$d albumi(a),%1$d album(a),%1$d album(ov),%1$d альбом(ів),%1$d album,%1$d album,%1$d альбом(ов),%1$d ألبوم (ألبومات),%1$d البم(s),អាល់ប៊ុម %1$d,%1$d एल्बम(हरू),%1$d album,%1$d alb(a/um),%1$d album(e),%1$d álbum(álbuns),%1$d άλμπουμ,အယ်လ်ဘမ် %1$d ခု,%1$d টি অ্যালবাম,%1$d альбом(дар),%1$d ఆల్బమ్(లు),%1$d ആൽബം(ങ്ങൾ),%1$d ଆଲବମ୍
all_play_item_count_playlist,%1$d playlist(s),%1$d 个歌单,%1$d 個播放清單,གླེང་སྒྲིག་ %1$d,%1$d afspeellijst(en),%1$d llista(es) de reproducció,%1$d erreprodukzio-zerrenda,%1$d playliste(r),%1$d playlist(y),%1$d Playlist(s),%1$d प्लेलिस्ट,%1$d playlist,%1$d เพลย์ลิสต์,%1$d (mga) playlist,%1$d ເພງລາຍການ,Orodha za kucheza %1$d,%1$dプレイリスト,%1$d playlist(s),%1$d lista(s) de reproducción,%1$d playlist(y),%1$d spilleliste(r),%1$d spellista/spellistor,%1$d lejátszási lista,%1$d개의 플레이리스트,ධාවන ලැයිස්තු %1$d ක්,%1$d प्लेलिस्ट,%1$d பிளேலிஸ்ட்(கள்),%1$d પ્લેલિસ્ટ(s),%1$d ਪਲੇਲਿਸਟ,%1$d ಪ್ಲೇಲಿಸ್ಟ್(ಗಳು),%1$d প্লেইলিষ্ট,%1$d فهرست پخش,%1$d playlist(s),%1$d çalma listesi,%1$d pleylist,%1$d lista(s) de reprodución,%1$d פלייליסטים,%1$d plejlist(a),%1$d плейлиста,%1$d soittolista(a),%1$d popis(a) reprodukcije,%1$d seznamov predvajanja,%1$d плейлист(ів),%1$d senarai main,%1$d playlist,%1$d плейлист(ов),%1$d قائمة تشغيل (قوائم تشغيل),%1$d پلے لسٹ(s),បញ្ជីចាក់ %1$d,%1$d प्लेलिस्ट(हरू),%1$d playlist,%1$d playlist(y/ů),%1$d playlist(uri),%1$d lista(s) de reprodução,%1$d playlist,ပလေးလစ် %1$d ခု,%1$d টি প্লেলিস্ট,%1$d ойнату тізімі(дері),%1$d ప్లేలిస్ట్(లు),%1$d പ്ലേലിസ്റ്റ്(കൾ),%1$d ପ୍ଲେଲିଷ୍ଟ
playlists_empty_hint,The playlists you created will be here.,你创建的歌单将显示在这里。,你建立的播放清單會顯示在這裡。,ཁྱེད་ཀྱིས་གསར་བཟོས་པའི་གླེང་སྒྲིག་འདིར་ཡོད།,"De afspeellijsten die je hebt gemaakt, verschijnen hier.",Les llistes de reproducció que has creat es mostraran aquí.,Sortu dituzun erreprodukzio-zerrendak hemen egongo dira.,"De playlister, du har oprettet, vil være her.","Tu sa zobrazia playlisty, ktoré ste vytvorili.",Die von dir erstellten Playlists werden hier angezeigt.,आपके द्वारा बनाई गई प्लेलिस्ट यहां होंगी।,Playlist yang kamu buat akan ada di sini.,เพลย์ลิสต์ที่คุณสร้างจะอยู่ที่นี่,Ang mga playlist na iyong ginawa ay makikita dito.,ເພງລາຍການທີ່ທ່ານສ້າງຈະຢູ່ທີ່ນີ້,Orodha za kucheza ulizozunda zitakuwa hapa.,作成したプレイリストがここに表示されます。,Les playlists que vous avez créées apparaîtront ici.,Las listas de reproducción que has creado aparecerán aquí.,Utworzone przez Ciebie playlisty będą tutaj.,Spillelistene du har opprettet vil være her.,Spellistorna du har skapat visas här.,Az általad létrehozott lejátszási listák itt lesznek.,내가 만든 플레이리스트가 여기에 표시됩니다.,ඔබ සාදන ලද ධාවන ලැයිස්තු මෙහි පවතී.,तुम्ही तयार केलेल्या प्लेलिस्ट येथे असतील.,நீங்கள் உருவாக்கிய பிளேலிஸ்ட்கள் இங்கே இருக்கும்.,તમે બનાવેલી પ્લેલિસ્ટ અહીં હશે.,ਤੁਹਾਡੇ ਵੱਲੋਂ ਬਣਾਈਆਂ ਗਈਆਂ ਪਲੇਲਿਸਟਾਂ ਇੱਥੇ ਹੋਣਗੀਆਂ।,ನೀವು ರಚಿಸಿದ ಪ್ಲೇಲಿಸ್ಟ್‌ಗಳು ಇಲ್ಲಿ ಇರುತ್ತವೆ.,আপুনি সৃষ্টি কৰা প্লেইলিষ্টবোৰ ইয়াত থাকিব।,فهرست‌های پخشی که ایجاد کرده‌اید اینجا خواهند بود.,As playlists que você criou estarão aqui.,Oluşturduğunuz çalma listeleri burada olacak.,Siz yaratgan pleylistlar shu yerda bo'ladi.,As listas de reprodución que creaches estarán aquí.,הפלייליסטים שיצרת יופיעו כאן.,Plejliste koje si napravio će biti ovde.,Създадените от вас плейлисти ще бъдат тук.,Luomasi soittolistat näkyvät täällä.,Popisi reprodukcije koje ste stvorili bit će ovdje.,"Seznami predvajanja, ki ste jih ustvarili, bodo tukaj.",Створені вами плейлисти будуть тут.,Senarai main yang anda cipta akan berada di sini.,Các playlist bạn đã tạo sẽ hiển thị ở đây.,Созданные вами плейлисты будут здесь.,ستظهر قوائم التشغيل التي أنشأتها هنا.,آپ کی بنائی گئی پلے لسٹس یہاں ہوں گی۔,បញ្ជីចាក់ដែលអ្នកបានបង្កើតនឹងនៅទីនេះ។,तपाईंले सिर्जना गर्नुभएका प्लेलिस्टहरू यहाँ हुनेछन्।,Le playlist che hai creato appariranno qui.,"Zde najdete playlisty, které jste vytvořili.",Playlist-urile create de tine vor fi aici.,As listas de reprodução que criaste estarão aqui.,Τα playlist που δημιουργήσατε θα είναι εδώ.,သင်ဖန်တီးထားသော ပလေးလစ်များကို ဤနေရာတွင် ပြသပါမည်,আপনার তৈরি করা প্লেলিস্টগুলি এখানে থাকবে।,Сіз жасаған ойнату тізімдері осында болады.,మీరు సృష్టించిన ప్లేలిస్ట్‌లు ఇక్కడ ఉంటాయి.,നിങ്ങൾ സൃഷ്ടിച്ച പ്ലേലിസ്റ്റുകൾ ഇവിടെ ഉണ്ടാകും.,ଆପଣ ତିଆରି କରିଥିବା ପ୍ଲେଲିଷ୍ଟଗୁଡ଼ିକ ଏଠାରେ ରହିବ
create_new_playlist,Create new playlist,创建新歌单,建立新播放清單,གླེང་སྒྲིག་གསར་པ་གསར་བཟོ།,Nieuwe afspeellijst maken,Crear llista de reproducció nova,Sortu erreprodukzio-zerrenda berria,Opret ny playliste,Vytvoriť nový playlist,Neue Playlist erstellen,नई प्लेलिस्ट बनाएं,Buat playlist baru,สร้างเพลย์ลิสต์ใหม่,Gumawa ng bagong playlist,ສ້າງເພງລາຍການໃໝ່,Unda orodha mpya ya kucheza,新規プレイリストを作成,Créer une nouvelle playlist,Crear nueva lista de reproducción,Utwórz nową playlistę,Opprett ny spilleliste,Skapa ny spellista,Új lejátszási lista létrehozása,새 플레이리스트 만들기,නව ධාවන ලැයිස්තුවක් සාදන්න,नवीन प्लेलिस्ट तयार करा,புதிய பிளேலிஸ்ட் உருவாக்கவும்,નવી પ્લેલિસ્ટ બનાવો,ਨਵੀਂ ਪਲੇਲਿਸਟ ਬਣਾਓ,ಹೊಸ ಪ್ಲೇಲಿಸ್ಟ್ ರಚಿಸಿ,নতুন প্লেইলিষ্ট সৃষ্টি কৰক,ایجاد فهرست پخش جدید,Criar nova playlist,Yeni çalma listesi oluştur,Yangi pleylist yaratish,Crear nova lista de reprodución,צור פלייליסט חדש,Napravi novu plejlistu,Създаване на нов плейлист,Luo uusi soittolista,Stvori novi popis reprodukcije,Ustvari nov seznam predvajanja,Створити новий плейлист,Cipta senarai main baharu,Tạo playlist mới,Создать новый плейлист,إنشاء قائمة تشغيل جديدة,نئی پلے لسٹ بنائیں,បង្កើតបញ្ជីចាក់ថ្មី,नयाँ प्लेलिस्ट सिर्जना गर्नुहोस्,Crea nuova playlist,Vytvořit nový playlist,Creează playlist nou,Criar nova lista de reprodução,Δημιουργία νέου playlist,ပလေးလစ်အသစ်ဖန်တီးရန်,নতুন প্লেলিস্ট তৈরি করুন,Жаңа ойнату тізімін жасау,కొత్త ప్లేలిస్ట్ సృష్టించండి,പുതിയ പ്ലേലിസ്റ്റ് സൃഷ്ടിക്കുക,ନୂଆ ପ୍ଲେଲିଷ୍ଟ ତିଆରି କରନ୍ତୁ
vansound_section_charts,Charts,排行榜,排行榜,གླེང་བསྡུར་ཐོ།,Charts,Llistes d\'èxits,Zerrendak,Hitlister,Rebríčky,Charts,चार्ट्स,Tangga Lagu,ชาร์ต,Charts,ອັນດັບເພງ,Charts,チャート,Classements,Listas de éxitos,Listy przebojów,Hitlister,Topplistan,Slágerlisták,차트,ප්‍රස්ථාර,चार्ट्स,தரவரிசைகள்,ચાર્ટ્સ,ਚਾਰਟਸ,ಚಾರ್ಟ್‌ಗಳು,চাৰ্ট,نمودارها,Paradas,Listeler,Chartlar,Listas de éxitos,מצעדים,Top liste,Класации,Listat,Top liste,Lestvice,Чарти,Carta,BXH,Чарты,قوائم الأكثر رواجاً,چارٹس,តារាងចំណាត់ថ្នាក់,चार्टहरू,Classifiche,Žebříčky,Topuri,Tabelas,Charts,ဇယားများ,চার্ট,Чарттар,చార్ట్స్,ചാർട്ടുകൾ,Charts
vansound_section_trending_hashtags,Trending Hashtags,热门话题,熱門主題標籤,གྲགས་ཆེའི་ཐག་རྟགས།,Trending hashtags,Hashtags en tendència,Joera duten traolak,Trending hashtags,Trendujúce hashtagy,Angesagte Hashtags,ट्रेंडिंग हैशटैग,Hashtag Trending,แฮชแท็กที่กำลังมาแรง,Trending na Hashtags,Hashtags ຍອດນິຍົມ,Hashtag Zinazovuma,トレンドハッシュタグ,Hashtags tendance,Hashtags en tendencia,Popularne hashtagi,Populære emneknagger,Trendande hashtags,Felkapott hashtagek,인기 해시태그,ජනප්‍රිය හැෂ්ටැග්,ट्रेंडिंग हॅशटॅग,டிரெண்டிங் ஹேஷ்டேக்குகள்,ટ્રેન્ડિંગ Hashtags,ਟ੍ਰੈਂਡਿੰਗ ਹੈਸ਼ਟੈਗਸ,ಟ್ರೆಂಡಿಂಗ್ ಹ್ಯಾಶ್‌ಟ್ಯಾಗ್‌ಗಳು,ট্ৰেণ্ডিং হেশ্বটেগ,هشتگ‌های پرطرفدار,Hashtags em Alta,Popüler Etiketler,Mashhur xeshteglar,Hashtags en tendencia,האשטאגים הטרנדיים,Popularni heštegovi,Популярни хаштагове,Trendaavat hashtagit,Popularni hashtagovi,Priljubljeni ključniki,Популярні хештеґи,Hashtag Trending,Hashtag thịnh hành,Популярные хештеги,الوسوم الرائجة,ٹرینڈنگ ہیش ٹیگز,Hashtags កំពុងពេញនិយម,ट्रेन्डिङ ह्यासट्यागहरू,Hashtag di tendenza,Populární hashtagy,Hashtag-uri în tendințe,Hashtags em Destaque,Δημοφιλή Hashtags,လူကြိုက်များသော Hashtag များ,ট্রেন্ডিং হ্যাশট্যাগ,Трендтегі хэштегтер,ట్రెండింగ్ హ్యాష్‌ట్యాగ్‌లు,ട്രെൻഡിംഗ് ഹാഷ്‌ടാഗുകൾ,Trending Hashtags
